session_id,project_id,quest_name,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
141103,1043,Santa Clara Brief Compassion Scale,7468,119046,na,test,24.0,SCBQ_1,92861151,1,4,2023-08-29 11:16:51,2023-08-29 11:17:05
141103,1043,Santa Clara Brief Compassion Scale,7468,119046,na,test,24.0,SCBQ_2,92861152,2,3,2023-08-29 11:16:51,2023-08-29 11:17:05
141103,1043,Santa Clara Brief Compassion Scale,7468,119046,na,test,24.0,SCBQ_3,92861153,3,6,2023-08-29 11:16:51,2023-08-29 11:17:05
141103,1043,Santa Clara Brief Compassion Scale,7468,119046,na,test,24.0,SCBQ_4,92861154,4,2,2023-08-29 11:16:51,2023-08-29 11:17:05
141103,1043,Santa Clara Brief Compassion Scale,7468,119046,na,test,24.0,SCBQ_5,92861155,5,5,2023-08-29 11:16:51,2023-08-29 11:17:05
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_1,92860911,1,2,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_2,92860912,2,5,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_3,92860913,3,3,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_4,92860914,4,5,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_5,92860915,5,3,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_6,92860916,6,2,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_7,92860917,7,4,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_8,92860918,8,4,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_9,92860919,9,3,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_10,92860920,10,5,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_11,92860921,11,6,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_12,92860922,12,5,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_13,92860923,13,2,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_14,92860924,14,4,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_15,92860925,15,5,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_16,92860926,16,3,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_17,92860927,17,4,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_18,92860928,18,4,2023-08-29 11:17:05,2023-08-29 11:17:44
141103,1043,Compassionate Love for Humanity Scale,7460,119046,na,test,24.0,CLHS_19,92860929,19,3,2023-08-29 11:17:05,2023-08-29 11:17:44
