session_id,project_id,quest_name,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_1_RC,92860881,1,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_2_NA,92860882,2,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_3_S,92860883,3,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_4_EA,92860884,4,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_5_S,92860885,5,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_6_S,92860886,6,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_7_NA,92860887,7,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_8_S,92860888,8,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_9_EA,92860889,9,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_10_FFS,92860890,10,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_11_EC,92860891,11,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_12_S,92860892,12,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_13_EA,92860893,13,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_14_PS,92860894,14,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_15_FFS,92860895,15,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_16_FFS,92860896,16,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_17_EC,92860897,17,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_18_S,92860898,18,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_19_NA,92860899,19,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_20_RC,92860900,20,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_21_FFS,92860901,21,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_22_PS,92860902,22,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_23_PS,92860903,23,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_24_S,92860904,24,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_25_RC,92860905,25,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_26_NA,92860906,26,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_27_EA,92860907,27,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_28_S,92860908,28,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_29_PS,92860909,29,,21/02/2024 12:04,21/02/2024 12:04
147451,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124359,,test,,MDEES_30_PS,92860910,30,,21/02/2024 12:04,21/02/2024 12:04
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_1_RC,92860881,1,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_2_NA,92860882,2,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_3_S,92860883,3,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_4_EA,92860884,4,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_5_S,92860885,5,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_6_S,92860886,6,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_7_NA,92860887,7,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_8_S,92860888,8,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_9_EA,92860889,9,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_10_FFS,92860890,10,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_11_EC,92860891,11,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_12_S,92860892,12,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_13_EA,92860893,13,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_14_PS,92860894,14,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_15_FFS,92860895,15,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_16_FFS,92860896,16,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_17_EC,92860897,17,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_18_S,92860898,18,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_19_NA,92860899,19,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_20_RC,92860900,20,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_21_FFS,92860901,21,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_22_PS,92860902,22,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_23_PS,92860903,23,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_24_S,92860904,24,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_25_RC,92860905,25,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_26_NA,92860906,26,,21/02/2024 12:11,21/02/2024 12:11
147453,1106,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,124361,male,test,,MDEES_27_EA,92860907,27,,21/02/2024 12:11,21/02/2024 12:11
